event_id,user_id,event_type,timestamp,device,region,session_duration
25a03c1c-49b7-405b-b705-c370ff0af619,user_022418,upgrade,2024-05-31T05:06:23,ios,APAC,0
820aec83-7dd8-4721-b027-614473ac3108,user_015873,page_view,2024-05-27T04:04:46,web,LATAM,3
bb7a2f82-e60d-46e0-bae0-a32bb910e4c3,user_017701,page_view,2023-11-26T01:34:17,web,EMEA,370
e2708b15-4a40-43a7-a6b2-01cce2187cc1,user_033556,page_view,2024-08-04T17:06:09,web,LATAM,1016
d9d05a91-bdc4-4b87-be46-3f5559d970ff,user_012939,login,2023-05-25T14:33:46,web,APAC,81
73342d51-f13c-43ce-bb81-a83eb9952395,user_018445,login,2023-06-10T23:03:17,ios,,669
c23bf2b5-c1bb-40ca-bb9b-e601ab5fea05,user_048409,payment,2023-02-28T17:00:40,ios,APAC,0
b314fb61-6bd5-446f-9f0b-2281ef9df67e,user_010098,login,2023-12-01T01:14:46,ios,EMEA,508
38b3030d-8636-4f95-8cae-ce7acba3cff1,user_035366,page_view,2023-05-06T22:43:16,android,EMEA,277
54723700-fe2c-4e44-89b8-ef2a03245ece,user_014944,feature_use,2024-02-17T05:32:59,android,,352
efe182e4-b8a9-43d9-9644-5c4f67495e9f,user_032272,login,2023-10-12T08:29:55,ios,,611
df36ad68-ccc0-482f-9130-656646d28f21,user_023081,page_view,2023-07-10T12:10:56,ios,,342
f759f094-83e5-4d0b-9b1d-5e9bc6fa888f,user_002012,login,2023-10-28T18:11:11,web,EMEA,183
78c684f2-4302-49ed-b01c-1247d2a61135,user_014749,page_view,2024-09-30T10:47:35,ios,APAC,346
2d37ebe1-eea3-4e88-8569-25d2a90ee06e,user_015770,page_view,2023-11-15T05:59:43,web,EMEA,114
1419e42a-af39-4ca5-bda1-87b6ae75acd4,user_044448,feature_use,2023-11-08T13:29:33,android,,257
dd0b6814-2a0d-4f98-b3e8-d9dcbeebdc31,user_017556,login,2023-05-27T16:44:12,ios,LATAM,295
0001f626-c49b-4190-a69f-72fa7d1b4e17,user_023219,upgrade,2024-11-18T04:51:54,android,APAC,0
d509ba53-cd8e-4d3e-bc48-90c6981c601e,user_039974,click,2023-12-13T21:37:50,web,APAC,0
76c2056b-b460-4914-a424-df89bf8a8e83,user_039610,login,2023-07-23T09:34:35,ios,EMEA,29
90c864ca-d805-4561-81ae-20f31ba9795d,user_006504,login,2023-02-03T23:20:50,ios,LATAM,83
2da9abf6-4b8d-457b-8b24-d33924bde16d,user_036165,downgrade,2023-06-05T02:50:15,ios,,0
c0bde543-5777-4184-becb-13abf9ea5dfc,user_013814,login,2023-04-14T22:01:43,ios,,88
38310965-7b41-4590-a76c-20eb02c14a9c,user_000482,page_view,2023-08-03T10:33:22,web,LATAM,596
78b313e2-cafe-4583-b448-54802c534199,user_004191,login,2023-02-04T13:04:31,android,LATAM,111
1f594b71-7a06-42fc-870f-bc0cdf275877,user_009927,login,2023-01-20T02:53:38,android,,751
e61d0574-7ff6-4c23-9228-ad55ba9491b3,user_053899,feature_use,2023-05-07T07:15:43,web,,1
66e19278-35ca-4dea-bbde-f889ea635020,user_025894,click,2023-08-03T22:59:56,ios,LATAM,0
8d2fef1b-b33c-45e0-b8bc-2fe11265a44c,user_021022,login,2023-02-07T19:23:50,android,APAC,310
1b08eb07-86cd-4bd6-8126-11bb8fe87ebb,user_048469,signup,2023-12-04T02:20:57,web,APAC,0
169b9e52-c549-42a9-bfaa-0dc1e0ad61d3,user_028104,login,2023-10-29T09:43:56,android,LATAM,125
